Unknown,US,EMEA,ASIA,CANADA,LATAM
DEUMK,IAOSK,RUSPE,,,
DEWAL,IAOTT,RUSTB,,,
DEWEN,IAREO,RUVKO,,,
DEWES,IASIO,RUVLD,,,
DEWIT,IASPE,SEARL,,,
DEWLL,IAWAT,SEBOL,,,
DEWOL,IAWTE,SEJAR,,,
DEWSL,IDBIS,SEJNK,,,
DEWUP,IDBOI,SEMOL,,,
DKAAB,IDBOS,SEMST,,,
DKAAU,IDCOE,SESKA,,,
DKCOP,IDGRN,SESTC,,,
DKCPN,IDHAI,SEVST,,,
DKVEJ,IDHEY,SILJU,,,
DOSAO,IDIFA,SKBLV,,,
DOSDG,IDLEW,SKBTV,,,
DOSDM,IDMCL,TGLOM,,,
DOSDN,IDMOU,TNRAD,,,
ECGYE,IDMRI,TNTTN,,,
ECNAQ,IDNAM,TRAFN,,,
ECQUO,IDPAY,TRANL,,,
ECUTO,IDPOA,TRANR,,,
EETNN,IDPOS,TRARD,,,
ESBCN,IDREX,TRART,,,
ESBIL,IDSND,TRBAL,,,
ESBRS,IDSOD,TRBUS,,,
ESMAI,IDSWY,TRCAN,,,
ESMAL,IDTWI,TRDAN,,,
ESMAN,ILADB,TRDEZ,,,
ESMAR,ILADD,TRDIB,,,
ESMCO,ILALT,TRDNA,,,
ESMDH,ILAS7,TRERM,,,
ESSEV,ILBDL,TRESH,,,
ESSFD,ILBED,TRGAN,,,
ESSVQ,ILBEL,TRIAU,,,
ESVTA,ILBES,TRIGA,,,
FIHLS,ILBLO,TRIMR,,,
FIHVN,ILCEN,TRISB,,,
FITAA,ILCST,TRISU,,,
FITMP,ILCWS,TRITB,,,
FLBAY,ILDAN,TRITL,,,
FLBRA,ILDCT,TRITU,,,
FLBRO,ILDEC,TRIZR,,,
FLCHI,ILDEK,TRKAS,,,
FLCLE,ILEGR,TRKAY,,,
FLCOC,ILFLN,TRKIR,,,
FLDAY,ILFRA,TRKOC,,,
FLDEE,ILFRE,TRKON,,,
FLDFB,ILGAL,TRKRS,,,
FLELA,ILHAR,TRLEV,,,
FLELT,ILHBA,TRMDK,,,
FLFGL,ILHDG,TRMUL,,,
FLFMS,ILHLL,TRSAM,,,
FLFRL,ILHOD,TRTEK,,,
FLFTL,ILJAC,TRTOK,,,
FLFTM,ILJEF,TRTRA,,,
FLFTP,ILJOL,TRYOZ,,,
FLFTW,ILKAN,UAKIV,,,
FLGAI,ILLPT,ZACEN,,,
FLHIA,ILMAR,ZACTO,,,
FLHOL,ILMAT,ZADUA,,,
FLIMI,ILMON,ZAJHB,,,
FLISL,ILMVE,ZAJNN,,,
FLJAC,ILNOR,ZAPTE,,,
FLJAI,ILOHA,,,,
FLJAK1,ILOLN,,,,
FLJSV,ILOSW,,,,
FLKEY,ILPAL,,,,
FLLAK,ILPEG,,,,
FLLDL,ILPEO,,,,
FLLDO,ILPER,,,,
FLLEE,ILPLA,,,,
FLLKW,ILPOA,,,,
FLLMY,ILQUI,,,,
FLLON,ILRFL,,,,
FLLWA,ILRKF,,,,
FLMEL,ILRKO,,,,
FLMIA,ILRLN,,,,
FLMIS,ILROC,,,,
FLMMI,ILROF,,,,
FLMNW,ILROK,,,,
FLN17,ILSDE,,,,
FLNAP,ILSHL,,,,
FLOAD,ILSHO,,,,
FLOAN,ILSPF,,,,
FLOAO,ILSPR,,,,
FLOCA,ILURB,,,,
FLOCL,ILWAB,,,,
FLOCO,ILWES,,,,
FLONR,INAND,,,,
FLOR1,INBLO,,,,
FLORL,INBOU,,,,
FLPAN,INCAS,,,,
FLPCA,INCEN,,,,
FLPEN,INCLA,,,,
FLPIN,INCOL,,,,
FLPNA,INCRA,,,,
FLPOC,INDIS,,,,
FLPOR,INELK,,,,
FLPPO,INESV,,,,
FLRIV,INEVA,,,,
FLRSW,INEVI,,,,
FLRVB,INFLD,,,,
FLSAR,INFTW,,,,
FLSTA,INFWE,,,,
FLSTU,INFYE,,,,
FLTAB,INHAM,,,,
FLTAI,INHMD,,,,
FLTAL,INHUN,,,,
FLTAP,INI16,,,,
FLTCI,INI74,,,,
FLVLE,INI81,,,,
FLVRO,INIAP,,,,
FLWPB,INIAS,,,,
FLWRD,INIDL,,,,
FRALV,INIIS,,,,
FRANG,INJFF,,,,
FRBES,INKOK,,,,
FRBOR,INLAF,,,,
FRBOU,INMAR,,,,
FRBRU,INMUN,,,,
FRCAE,INNOR,,,,
FRCDG,INPER,,,,
FRCHN,INPOL,,,,
FRCLE,INSBE,,,,
FRCRB,INSOB,,,,
FRCTL,INTER,,,,
FRENR,INVER,,,,
FRFON,INWAS,,,,
FRGRE,INWAT,,,,
FRLAC,INWES,,,,
FRLCU,INYOD,,,,
FRLEM,KSCOL,,,,
FRLIL,KSDGE,,,,
FRLIM,KSEMP,,,,
FRLSX,KSGAR,,,,
FRLYS,KSGER,,,,
FRMAR,KSGRE,,,,
FRMAU,KSHAY,,,,
FRMEJ,KSHUT,,,,
FRMGN,KSKAN,,,,
FRMRI,KSKCI,,,,
FRMUL,KSLAW,,,,
FRNAB,KSLEN,,,,
FRNCY,KSMAN,,,,
FRNIC,KSOPK,,,,
FRNSG,KSOTT,,,,
FRPLA,KSPAR,,,,
FRPLI,KSPIT,,,,
FRPOI,KSSAI,,,,
FRREM,KSSAL,,,,
FRROU,KSTCI,,,,
FRSAE,KSTOP,,,,
FRSAH,KSWCA,,,,
FRSAT,KSWCI,,,,
FRSJD,KSWIC,,,,
FRSJQ,KSWTA,,,,
FRSON,KYACD,,,,
FRSPL,KYAGB (KYARP),,,,
FRSQF,KYALD,,,,
FRSTJ,KYAPK (KYGRA),,,,
FRSTR,KYBGR,,,,
FRSWI,KYBLU,,,,
FRSWT,KYBON,,,,
FRTOR,KYBOW,,,,
FRTRO,KYBRK,,,,
FRTSE,KYCAM,,,,
FRVLP,KYCRT,,,,
GAAIR,KYDAN,,,,
GAALB,KYEBP,,,,
GAATH,KYELI,,,,
GAATL,KYFOU,,,,
GAATT,KYHAZ,,,,
GAAUG,KYHB1,,,,
GABNY,KYHBR,,,,
GABRU,KYHON,,,,
GABUT,KYHPV,,,,
GACAI,KYLEX,,,,
GACAR,KYLGN,,,,
GACOL,KYLON,,,,
GACRL,KYLXO,,,,
GADAL,KYMAD,,,,
GADTH,KYMAY,,,,
GADUH,KYNAN,,,,
GAFPA,KYNTP,,,,
GAFRP,KYOWE,,,,
GAGEO,KYPAD,,,,
GAGPR,KYPDU,,,,
GAGRI,KYPIK,,,,
GAHAL,KYPRE,,,,
GAJEF,KYPRS,,,,
GAKNN,KYSOM,,,,
GALAG,KYSPL,,,,
GALTA,KYSTA,,,,
GALWR,KYWON,,,,
GAMAC,KYWRW,,,,
GAMAV,LAALE,,,,
GAMRW,LABAK,,,,
GAPLE,LABTG,,,,
GARIN,LACOV,,,,
GAROM,LADEL,,,,
GAROS,LAEAR,,,,
GARSW,LAFTE,,,,
GASAV,LAGON,,,,
GASAW,LAHAM,,,,
GASCR,LAHAV,,,,
GASNA,LAHMA,,,,
GASNH,LAHMM,,,,
GASTA,LAKER,,,,
GASWA,LAKNR,,,,
GATFT,LALAF,,,,
GATIF,LALKC,,,,
GATLA,LAMON,,,,
GATLN,LANCH,,,,
GAUNA,LANEO,,,,
GAVAL,LANIB,,,,
GAWAR,LANOR,,,,
GAWAY,LANRL,,,,
GAWOO,LAOPE,,,,
GBAGN,LAPAL,,,,
GBATL,LAPOR,,,,
GBBAR,LARUS,,,,
GBBEV,LASHE,,,,
GBBLF,LASHR,,,,
GBBOD,LASPT,,,,
GBBOT,LASVP,,,,
GBBRG,MAASH,,,,
GBBTL,MAASS,,,,
GBBTO,MABOY,,,,
GBBUR,MABRO,,,,
GBBWA,MACHE,,,,
GBCAF,MACHS,,,,
GBCLS,MADAR,,,,
GBCOV,MAKSN,,,,
GBCRO,MALEO,,,,
GBCUM,MALOG,,,,
GBDAR,MALYN,,,,
GBDBY,MAMAL,,,,
GBDDE,MAMAV,,,,
GBDEE,MANKT,,,,
GBDEW,MANOR,,,,
GBDRB,MANRE,,,,
GBDRN,MAPIT,,,,
GBDWS,MASAG,,,,
GBEDR,MASBO,,,,
GBEMR,MASBR,,,,
GBEXE,MASDE,,,,
GBEXR,MASOM,,,,
GBFEL,MASOU,,,,
GBGAW,MASPG,,,,
GBGFR,MASPR,,,,
GBGLS,MAWAT,,,,
GBGLU,MAWAU,,,,
GBGSG,MAWLG,,,,
GBGTE,MAWOR,,,,
GBHEL,MAYAR,,,,
GBIVE,MDABR,,,,
GBLEI,MDBAL,,,,
GBLEY,MDBMR,,,,
GBLIN,MDBRE,,,,
GBLND,MDBTI,,,,
GBLTN,MDBUR,,,,
GBMCH,MDBWI,,,,
GBMNS,MDCUB,,,,
GBNHA,MDCUM,,,,
GBNOT,MDEAS,,,,
GBNRW,MDEKT,,,,
GBNTG,MDELR,,,,
GBNTW,MDFDE,,,,
GBNUE,MDFRE,,,,
GBREA,MDGAI,,,,
GBROD,MDHAG,,,,
GBSED,MDHUN,,,,
GBSHE,MDLAN,,,,
GBSHF,MDLDC,,,,
GBSHM,MDLND,,,,
GBSLH,MDNNA,,,,
GBSLU,MDPEN,,,,
GBSTA,MDQUA,,,,
GBSTO,MDROA,,,,
GBSWA,MDSAL,,,,
GBTAM,MDSAV,,,,
GBWAT,MDWAL,,,,
GBWKF,MDWIL,,,,
GBWOK,MEAUB,,,,
GRATE,MEBAN,,,,
GRKOP,MECLA,,,,
GRTHI,MECON,,,,
GTGUE,MEHOL,,,,
GTGUL1-PGUA182,MEPOR,,,,
GTGUM,MEPRE,,,,
HIHLU,MEROC,,,,
HIHUU,MESCA,,,,
HIITO,MEWAT,,,,
HIKAH,MEWEL,,,,
HIKHU,MIADR,,,,
HIKON,MIALP,,,,
HILIH,MIBCK,,,,
HKCHE,MIBES,,,,
HKCLK,MIBGR,,,,
HKHCH,MIBRK,,,,
HKHKN,MICAD,,,,
HKHKO,MICDI,,,,
HKKCH,MICIC,,,,
HKKOW,MICSC,,,,
HKSHK,MIDTW,,,,
HNSNP,MIESC,,,,
HUBDP,MIFLI,,,,
HUBRS,MIGAY,,,,
HUTHU1-PBUD1124,MIGNR,,,,
HUVSS,MIGRI,,,,
IAAME,MIGRN,,,,
IABUR,MIHGT,,,,
IACOR,MIHOW,,,,
IACRA,MIINT,,,,
IACRE,MIIRM,,,,
IADAV,MIJAC,,,,
IADEC,MIJOS,,,,
IADES,MIKAL,,,,
IADME,MILAN,,,,
IADSN,MILAR,,,,
IADUB,MILIV,,,,
IAFTD,MILUD,,,,
IAHIA,MILVI,,,,
IAMAR,MIMAD,,,,
IAMAS,MIMAR,,,,
IAOSK,MIMIL,,,,
IAOTT,MIMON,,,,
IAREO,MIMTP,,,,
IASIO,MIMUS,,,,
IASPE,MIORI,,,,
IAWAT,MIPET,,,,
IAWTE,MIPID,,,,
IDBOI,MIPON,,,,
IDBOS,MIPOR,,,,
IDCOE,MIRLS,,,,
IDGRN,MIROY,,,,
IDHAI,MIRUD,,,,
IDHEY,MIRUS,,,,
IDIFA,MIRUU,,,,
IDJAR,MISAG,,,,
IDJAT,MISFD,,,,
IDLEW,MISGI,,,,
IDMCL,MISHE,,,,
IDMOU,MITAY,,,,
IDMRI,MITCY,,,,
IDNAM,MIWBR,,,,
IDPAY,MIWIX,,,,
IDPOA,MIWOO,,,,
IDREX,MIYPS,,,,
IDRTA,MNAHL,,,,
IDSND,MNALB,,,,
IDSOD,MNALE,,,,
IDSWY,MNBEM,,,,
IDTWI,MNBLA,,,,
IEBAL,MNBRA,,,,
IECRK,MNBRK,,,,
IEDBN,MNDET,,,,
IEDUI,MNDUL,,,,
IEDUN,MNEGN,,,,
IENRB,MNFAI,,,,
IESHN,MNFER,,,,
ILADD,MNGLE,,,,
ILALT,MNGRA,,,,
ILAS7,MNGUN,,,,
ILBDL,MNINT,,,,
ILBEL,MNISA,,,,
ILCEN,MNMIN,,,,
ILCST,MNMNK,,,,
ILCWS,MNMOR,,,,
ILDAN,MNMPL,,,,
ILDCT,MNMTP,,,,
ILDEC,MNOWA,,,,
ILDEK,MNRCS,,,,
ILEGR,MNREW,,,,
ILFLN,MNROC,,,,
ILFRA,MNSHA,,,,
ILFRE,MNSLA,,,,
ILGAL,MNSPH,,,,
ILHAR,MNSTC,,,,
ILHBA,MNSTJ,,,,
ILHDG,MNTHE,,,,
ILHLL,MNVIR,,,,
ILHOD,MNWAD,,,,
ILJAC,MNWIL,,,,
ILJEF,MNWIN,,,,
ILJOL,MOAPP,,,,
ILKAN,MOBER,,,,
ILLOD,MOBOW,,,,
ILLPT,MOCAM,,,,
ILMAR,MOCAP,,,,
ILMAT,MOCHI,,,,
ILMON,MOCLU,,,,
ILMVE,MOCOL,,,,
ILNOR,MOCRY,,,,
ILOHA,MOEAR,,,,
ILOLN,MOERT,,,,
ILOSW,MOFAR,,,,
ILPAL,MOFEN,,,,
ILPEG,MOFRS,,,,
ILPEO,MOHIG,,,,
ILPER,MOHOL,,,,
ILPLA,MOJEF,,,,
ILQUI,MOJFT,,,,
ILRFL,MOJOP,,,,
ILRKF,MOKAN,,,,
ILRKO,MOKIR,,,,
ILRLN,MOLAR,,,,
ILROC,MOMCI,,,,
ILROK,MONCA,,,,
ILSHL,MOPAL,,,,
ILSHO,MOPVR,,,,
ILSPR,MORLA,,,,
ILURB,MORLL,,,,
ILWAB,MOSAL,,,,
ILWES,MOSDG,,,,
IN1PN,MOSED,,,,
INACC,MOSKE,,,,
INAND,MOSLI,,,,
INBAI,MOSPA,,,,
INBGA,MOSPD,,,,
INBLO,MOSPG,,,,
INBOU,MOSPM,,,,
INCAS,MOSPN,,,,
INCEN,MOSTJ,,,,
INCLA,MOSTL,,,,
INCNI,MOTHR,,,,
INCOL,MOUNN,,,,
INCRA,MOWIL,,,,
INELK,MSBAT,,,,
INESV,MSBLL,,,,
INEVA,MSBOO,,,,
INFLD,MSCOL,,,,
INFTW,MSFUL,,,,
INFYE,MSGLF,,,,
INHAM,MSGRE,,,,
INHMD,MSGRV,,,,
INHUN,MSGUL,,,,
INI16,MSHAT,,,,
INI74,MSHER,,,,
INI81,MSJAC,,,,
INIAS,MSJKN,,,,
INIDL,MSJKO,,,,
INIIS,MSKOS,,,,
INKOK,MSLAU,,,,
INLAF,MSMCC,,,,
INMAR,MSMER,,,,
INMMU,MSNAT,,,,
INMUA,MSPAS,,,,
INMUN,MSPER,,,,
INMVR,MSPRI,,,,
INNLI,MSTPL,,,,
INNOR,MSTUP,,,,
INOKH,MSVIC,,,,
INPOL,MTBIL,,,,
INSBE,MTBLG,,,,
INSOB,MTBUT,,,,
INTER,MTBZE,,,,
INUNE,MTBZM,,,,
INVER,MTCUT,,,,
INWAS,MTGLE,,,,
INWAT,MTGTF,,,,
INWES,MTHAV,,,,
INYDR,MTHEL,,,,
INYOD,MTKAL,,,,
ITAOI,MTLEW,,,,
ITARZ,MTLIB,,,,
ITBER,MTLOG,,,,
ITBLG,MTLOK,,,,
ITBLQ,MTMIL,,,,
ITBRS,MTMIS,,,,
ITCPI,MTWOL,,,,
ITCTL,NCASE,,,,
ITCVM,NCASH,,,,
ITFIR,NCBUT,,,,
ITGAL,NCCGO,,,,
ITGRA,NCCHA,,,,
ITLAE,NCCHL,,,,
ITLUR,NCCHP,,,,
ITLVR,NCCLO,,,,
ITMIL,NCCLT,,,,
ITMLA,NCCON,,,,
ITOME,NCDHM,,,,
ITPAR,NCDUH,,,,
ITPLE,NCDUR,,,,
ITROA,NCEDE,,,,
ITROM,NCFAY,,,,
ITSFI,NCFRA,,,,
ITTES,NCFYE,,,,
ITTOR,NCGAS,,,,
ITVCN,NCGEB,,,,
ITVER,NCGOL,,,,
ITVIM,NCGOO,,,,
JEHEL.mynet,NCGRE,,,,
JMKNN,NCGRV,,,,
JPAKA,NCGSB,,,,
JPAZA,NCGST,,,,
JPKAM,NCHAV,,,,
JPKIX,NCHEN,,,,
JPKSK,NCHIG,,,,
JPMKU,NCHIK,,,,
JPNRT,NCJAC,,,,
JPOAK,NCKAN,,,,
JPPPN,NCKIN,,,,
JPRVR,NCKIS,,,,
JPSHN,NCKVL,,,,
JPTKU,NCLEN,,,,
KRINC,NCLUM,,,,
KRMLL,NCMAN,,,,
KRSDG,NCMBN,,,,
KSCOL,NCMON,,,,
KSDGE,NCMRS,,,,
KSEMP,NCNGS,,,,
KSGAR,NCONE,,,,
KSGER,NCRAD,,,,
KSGRE,NCRAI,,,,
KSHAY,NCRAL,,,,
KSHUT,NCRGH,,,,
KSKAN,NCRLI,,,,
KSKCI,NCROC,,,,
KSLAW,NCSAL,,,,
KSLEN,NCSHE,,,,
KSMAN,NCSOU,,,,
KSOTT,NCSTA,,,,
KSPAR,NCSYL,,,,
KSPIT,NCWCH,,,,
KSSAL,NCWIL,,,,
KSTCI,NCWIN,,,,
KSTOP,NCWLK,,,,
KSWCA,NCWMG,,,,
KSWCI,NDANO,,,,
KSWIC,NDBIS,,,,
KYALD,NDBSM,,,,
KYAPK,NDDEV,,,,
KYBGR,NDDIC,,,,
KYBLU,NDFAR,,,,
KYBON,NDGRA,,,,
KYBOW,NDJAM,,,,
KYBRK,NDMAV,,,,
KYCAM,NDMIN,,,,
KYCRT,NDPBA,,,,
KYDAN,NDPEM,,,,
KYEBP,NDWIL,,,,
KYELI,NEAIR,,,,
KYFOU,NEALL,,,,
KYHAZ,NEAUB,,,,
KYHBR,NEBEA,,,,
KYHON,NEBRO,,,,
KYHPV,NECOL,,,,
KYLEX,NEGRA,,,,
KYLGN,NEHAS,,,,
KYLON,NEKEA,,,,
KYLXO,NELIN,,,,
KYMAD,NEMCC,,,,
KYMAY,NEMHA,,,,
KYOWE,NENOR,,,,
KYPAD,NENPL,,,,
KYPDU,NEOAH,,,,
KYPIK,NEOFS,,,,
KYPRE,NEOMA,,,,
KYPRS,NEONE,,,,
KYSOM,NESCO,,,,
KYSPL,NESEY,,,,
KYSTA,NESID,,,,
KYWON,NEVAL,,,,
KYWRW,NHDOV,,,,
LAALE,NHFRA,,,,
LABAK,NHKEN,,,,
LABTG,NHLAC,,,,
LACOV,NHLDO,,,,
LADEL,NHLDR,,,,
LAEAR,NHMAN,,,,
LAFTE,NHMHT,,,,
LAGON,NHMST,,,,
LAHAM,NHNAH,,,,
LAHAV,NHNAS,,,,
LAHMA,NHTWI,,,,
LAKER,NJBBX,,,,
LAKNR,NJBOP,,,,
LALAF,NJBOU,,,,
LALKC,NJBRW,,,,
LAMON,NJCRT,,,,
LANCH,NJCTT,,,,
LANIB,NJEDI,,,,
LANOR,NJEDS,,,,
LANRL,NJESO,,,,
LAOPE,NJGOU,,,,
LAPOR,NJLAK,,,,
LARUS,NJLAW,,,,
LASHE,NJLDH,,,,
LASHR,NJLGN,,,,
LASVP,NJLYN,,,,
LULUM,NJMEA,,,,
LVRIX,NJMOO,,,,
MABOY,NJMTO,,,,
MABRO,NJMWL,,,,
MACHE,NJNAK,,,,
MACHS,NJNWK,,,,
MADAR,NJOMN,,,,
MAKSN,NJPAR,,,,
MALEO,NJPLE,,,,
MALOG,NJPNS,,,,
MALYN,NJPRS,,,,
MAMAL,NJSAD,,,,
MAMAV,NJSBR,,,,
MANKT,NJSBS,,,,
MANOR,NJSWB,,,,
MANRE,NJTIN,,,,
MAPIT,NJTRN,,,,
MASAG,NJVIN,,,,
MASBO,NMAIR,,,,
MASDE,NMALA,,,,
MASOM,NMALB,,,,
MASPG,NMALQ,,,,
MASPR,NMAQR,,,,
MAWAT,NMAQU,,,,
MAWAU,NMASP,,,,
MAWLG,NMCAR,,,,
MAWOR,NMCLO,,,,
MAYAR,NMCUB,,,,
MBWIN,NMDEM,,,,
MBWIP,NMFAR,,,,
MBWNI,NMGAL,,,,
MBYWG,NMGRA,,,,
MDBMR,NMHOB,,,,
MDBRE,NMLAS,,,,
MDBUR,NMLSV,,,,
MDBWI,NMROS,,,,
MDCHS,NMSFE,,,,
MDCUB,NMSLC,,,,
MDCUM,NMSOC,,,,
MDEAS,NMSPR,,,,
MDEKT,NMTAO,,,,
MDELR,NMTRU,,,,
MDFDE,NMTUC,,,,
MDFRE,NVACC,,,,
MDGAI,NVACW,,,,
MDHAG,NVCAM,,,,
MDHUN,NVELI,,,,
MDLAN,NVELK,,,,
MDLDC,NVFAL,,,,
MDPEN,NVLAS,,,,
MDQUA,NVLSG,,,,
MDSAL,NVLSV,,,,
MDSAV,NVLVA,,,,
MDWAL,NVLVE,,,,
MDWIL,NVNOV,,,,
MEAUB,NVREO,,,,
MEBAN,NVRN1,,,,
MECLA,NVRNO,,,,
MEHOL,NVSTE,,,,
MEPOR,NVSUR,,,,
MEPRE,NVTDR,,,,
MEROC,NVTON,,,,
MESCA,NVWNA,,,,
MEWAT,NY43R,,,,
MEWEL,NYACO,,,,
MIADR,NYALB,,,,
MIALP,NYALL,,,,
MIBCK,NYAMS,,,,
MIBES,NYBAT,,,,
MIBGR,NYBFF,,,,
MIBRK,NYBGH,,,,
MICAD,NYBHT,,,,
MICDI,NYBIN,,,,
MICIC,NYBLA,,,,
MICSC,NYBNG,,,,
MIDTW,NYBRK,,,,
MIESC,NYBRU,,,,
MIFLI,NYBSH,,,,
MIGAY,NYBUF,,,,
MIGNR,NYBWN,,,,
MIGRI,NYCCO,,,,
MIGRN,NYCHE,,,,
MIHGT,NYCHM,,,,
MIHOW,NYCHO,,,,
MIINT,NYCHP,,,,
MIIRM,NYCHT,,,,
MIJAC,NYCOR,,,,
MIJOS,NYCOX,,,,
MIKAL,NYDUN,,,,
MILAN,NYEDG,,,,
MILAR,NYEGW,,,,
MILIV,NYELF,,,,
MILUD,NYELM,,,,
MILVI,NYEMR,,,,
MIMAD,NYESR,,,,
MIMAR,NYESY,,,,
MIMON,NYFOS,,,,
MIMTP,NYFRD,,,,
MIMUS,NYFSL,,,,
MIPET,NYFTR,,,,
MIPON,NYGEN,,,,
MIPOR,NYGLE,,,,
MIRLS,NYHAN,,,,
MIRUD,NYHEN,,,,
MIRUS,NYHOR,,,,
MIRUU,NYHUD,,,,
MISAG,NYITH,,,,
MITAY,NYJAM,,,,
MITCY,NYJER,,,,
MIWBR,NYJIC,,,,
MIWIX,NYKEN,,,,
MIWOO,NYKIN,,,,
MIYPS,NYLBA,,,,
MNAHL,NYLIB,,,,
MNALB,NYLIC,,,,
MNALE,NYLOC,,,,
MNBEM,NYLTM,,,,
MNBLA,NYMAE,,,,
MNBRA,NYMAN,,,,
MNBRK,NYMAS,,,,
MNDET,NYMEL,,,,
MNDUL,NYMNS,,,,
MNEGN,NYMON,,,,
MNFAI,NYMTV,,,,
MNFER,NYNAN,,,,
MNGLE,NYNAS,,,,
MNGRA,NYNIA,,,,
MNGUN,NYNSY,,,,
MNINT,NYNWR,,,,
MNISA,NYONE,,,,
MNMIN,NYPKP,,,,
MNMNK,NYPLB,,,,
MNMOR,NYPOT,,,,
MNMPL,NYPOU,,,,
MNMTP,NYPPD,,,,
MNOWA,NYRHE,,,,
MNREW,NYRHS,,,,
MNROC,NYROC,,,,
MNSLA,NYROM,,,,
MNSPH,NYSGA,,,,
MNSTC,NYSPR,,,,
MNSTJ,NYSPV,,,,
MNTHE,NYSTI,,,,
MNVIR,NYSUF,,,,
MNWAD,NYSYR,,,,
MNWIL,NYTNA,,,,
MNWIN,NYTRA,,,,
MOAPP,NYUTI,,,,
MOBER,NYW44,,,,
MOBOW,NYWBS,,,,
MOCAM,NYWIN,,,,
MOCAP,NYYON,,,,
MOCHI,NYYOR,,,,
MOCLU,OHAKR,,,,
MOCOL,OHATH,,,,
MOCRY,OHAUS,,,,
MOEAR,OHBRE,,,,
MOFAR,OHBRI,,,,
MOFEN,OHCAN,,,,
MOFRS,OHCBS,,,,
MOHIG,OHCEL,,,,
MOHOL,OHCGE,,,,
MOJEF,OHCGF,,,,
MOJOP,OHCHI,,,,
MOKIR,OHCIT,,,,
MOLAR,OHCLE,,,,
MOMCI,OHCLS,,,,
MONCA,OHCOL,,,,
MOPAL,OHCTH,,,,
MOPVR,OHCUU,,,,
MORLA,OHCVE,,,,
MOSAL,OHDAY,,,,
MOSED,OHDEF,,,,
MOSKE,OHDEL,,,,
MOSLI,OHDYO,,,,
MOSPA,OHELY,,,,
MOSPG,OHFIN,,,,
MOSPM,OHFRF,,,,
MOSPN,OHFRM,,,,
MOSTJ,OHHAM,,,,
MOSTL,OHHHT,,,,
MOTHR,OHLAN,,,,
MOUNN,OHLCK,,,,
MOWIL,OHLIM,,,,
MSBAT,OHMAH,,,,
MSBOO,OHMAN,,,,
MSCOL,OHMAR,,,,
MSGRE,OHMAS,,,,
MSGRV,OHMHI,,,,
MSGUL,OHMHT,,,,
MSHAT,OHMID,,,,
MSHER,OHMRN,,,,
MSJAC,OHMWR,,,,
MSJKN,OHNEW,,,,
MSJKO,OHNPH,,,,
MSKOS,OHPIQ,,,,
MSLAU,OHPOR,,,,
MSMCC,OHRIC,,,,
MSMER,OHSAN,,,,
MSNAT,OHSHA,,,,
MSPAS,OHSHE,,,,
MSPER,OHSHN,,,,
MSTPL,OHSPF,,,,
MSTUP,OHSTC,,,,
MSVIC,OHTLO,,,,
MTBIL,OHTLR,,,,
MTBLG,OHTOL,,,,
MTBUT,OHTRA,,,,
MTBZE,OHTRU,,,,
MTCUT,OHURB,,,,
MTGLE,OHVLA,,,,
MTGTF,OHVNA,,,,
MTHAV,OHWAD,,,,
MTHEL,OHWES,,,,
MTKAL,OHWIM,,,,
MTLEW,OHWLN,,,,
MTLIB,OHWOO,,,,
MTLOG,OHWTC,,,,
MTLQA,OHWTN,,,,
MTMIL,OHZAN,,,,
MTMIS,OKALT,,,,
MTWOL,OKARD,,,,
MXBEN,OKCLI,,,,
MXCDJ,OKDUR,,,,
MXCHA,OKENI,,,,
MXCIU,OKGUY,,,,
MXCLM,OKLAW,,,,
MXCTY,OKLCU,,,,
MXGLA,OKMCA,,,,
MXGUA,OKMUS,,,,
MXGUL,OKOHA,,,,
MXJMP,OKOKL,,,,
MXMCT,OKOKM,,,,
MXMOT,OKPON,,,,
