Unknown,US,EMEA,ASIA,CANADA,LATAM
MXMRD,OKSAL,,,,
MXMRR,OKSHA,,,,
MXMTR,OKSTI,,,,
MXNAU,OKTLA,,,,
MXTIJ,OKTSA,,,,
MXTOL,OKTUA,,,,
MYGTW,OKTUL,,,,
MYKLI,OKULS,,,,
MYPNA,OKVIN,,,,
MYPNN,OKWOO,,,,
MYSHL,ORAIR,,,,
MYSNG,ORALD,,,,
MYTAM,ORBAK,,,,
NBDIP,ORBEA,,,,
NBFRE,ORBRN,,,,
NBFRN,ORBTN,,,,
NBMON,ORCOR,,,,
NBSNJ,ORDES,,,,
NCASE,ORENE,,,,
NCASH,OREUG,,,,
NCBUT,ORFLO,,,,
NCCGO,ORGEN,,,,
NCCHA,ORGPA,,,,
NCCHL,ORGRA,,,,
NCCHP,ORHAR,,,,
NCCLT,ORHLL,,,,
NCCON,ORHRM,,,,
NCDHM,ORHST,,,,
NCDUH,ORJOH,,,,
NCDUR,ORKLA,,,,
NCEDE,ORLGN,,,,
NCFAY,ORMED,,,,
NCFRA,ORNBE,,,,
NCGAS,ORNPT,,,,
NCGEB,ORNRA,,,,
NCGOL,ORORL,,,,
NCGRE,ORORT,,,,
NCGRV,ORPCC,,,,
NCGSB,ORPEN,,,,
NCHAV,ORPOA,,,,
NCHEN,ORPOR,,,,
NCHIG,ORROS,,,,
NCHIK,ORSAL,,,,
NCJAC,ORSPR,,,,
NCKIN,ORTHE,,,,
NCKIS,ORTLM,,,,
NCLEN,ORTUA,,,,
NCLUM,ORWAR,,,,
NCMAN,PAADA,,,,
NCMON,PAAIR,,,,
NCMRS,PAALI,,,,
NCNGS,PAALN,,,,
NCONE,PAALT,,,,
NCRAD,PABEA,,,,
NCRAI,PABHL,,,,
NCRAL,PABHM,,,,
NCRGH,PABNS,,,,
NCRLI,PABTN,,,,
NCROC,PACAS,,,,
NCSAL,PACHA,,,,
NCSHE,PACHL,,,,
NCSOU,PACTR,,,,
NCSTA,PACTW,,,,
NCSYL,PADUB,,,,
NCWIL,PAERI,,,,
NCWIN,PAEST,,,,
NCWLK,PAETO,,,,
NCWMG,PAEWR,,,,
NDBIS,PAFDM,,,,
NDDEV,PAFRA,,,,
NDDIC,PAGET,,,,
NDFAR,PAHAI,,,,
NDGRA,PAHAR,,,,
NDJAM,PAHOM,,,,
NDMIN,PAHRS,,,,
NDPEM,PAHZL,,,,
NDWIL,PAIND,,,,
NEAIR,PAJOH,,,,
NEALL,PAKAN,,,,
NEAUB,PAKUT,,,,
NEBEA,PALAC,,,,
NEBRO,PALAN,,,,
NECOL,PALEW,,,,
NEGRA,PAMBG1,,,,
NEHAS,PAMBG2,,,,
NEKEA,PAMBG3,,,,
NELIN,PAMDD,,,,
NEMCC,PAMDT,,,,
NEMHA,PAMDW,,,,
NENOR,PAMEA,,,,
NENPL,PAMOR,,,,
NEOAH,PAMOT,,,,
NEOFS,PAMPL,,,,
NEOMA,PAMTL,,,,
NEONE,PANCA,,,,
NESCO,PANKE,,,,
NESID,PANST,,,,
NGLAS,PAOFO,,,,
NHDOV,PAPAV,,,,
NHKEN,PAPHA,,,,
NHLAC,PAPHH,,,,
NHLDO,PAPHI,,,,
NHLDR,PAPOT,,,,
NHMHT,PAPSB,,,,
NHNAH,PAREA,,,,
NHTWI,PASCA,,,,
NIMAA,PASCN,,,,
NIMAG,PASCR,,,,
NJBBX,PASNL,,,,
NJBOP,PASTA,,,,
NJBOU,PASTO,,,,
NJBRW,PASTR,,,,
NJCRT,PASUN,,,,
NJCTT,PATHO,,,,
NJEDI,PATST,,,,
NJEDS,PAUNI,,,,
NJGOU,PAWAS,,,,
NJLAK,PAWES,,,,
NJLAW,PAWLB,,,,
NJLDH,PAWLG,,,,
NJLGN,PAWLL,,,,
NJLYN,PAYOR,,,,
NJMEA,PAYRK,,,,
NJMOO,PAZEL,,,,
NJMTO,PRARE,,,,
NJMWL,PRBYM,,,,
NJNAK,PRCAG,,,,
NJNWK,PRGAY,,,,
NJOMN,PRMAY,,,,
NJPLE,PRMGZ,,,,
NJPNS,PRPNC,,,,
NJSAD,PRSJU,,,,
NJSBR,PRTBJ,,,,
NJSBS,QSAIR1,,,,
NJSWB,QSAIR2,,,,
NJTIN,QSUS1,,,,
NJTRN,QSUS10,,,,
NJVIN,QSUS11,,,,
NLAMS,QSUS12,,,,
NLAPO,QSUS13,,,,
NLEDN,QSUS14,,,,
NLEND,QSUS15,,,,
NLEVN,QSUS16,,,,
NLHAG,QSUS17,,,,
NLHEE,QSUS18,,,,
NLHOO,QSUS19,,,,
NLHRK,QSUS2,,,,
NLMPL,QSUS20,,,,
NLRMD,QSUS21,,,,
NLROM,QSUS22,,,,
NLROR,QSUS23,,,,
NLRTE,QSUS24,,,,
NLRTT,QSUS25,,,,
NLSHP,QSUS26,,,,
NLTNL1-PGRQ114,QSUS27,,,,
NLUHT,QSUS28,,,,
NLVEN,QSUS29,,,,
NLVEO,QSUS3,,,,
NLVNL,QSUS30,,,,
NMAIR,QSUS31,,,,
NMALA,QSUS32,,,,
NMALB,QSUS33,,,,
NMALQ,QSUS34,,,,
NMAQU,QSUS35,,,,
NMASP,QSUS36,,,,
NMCAR,QSUS37,,,,
NMCLO,QSUS38,,,,
NMCUB,QSUS39,,,,
NMDEM,QSUS4,,,,
NMFAR,QSUS40,,,,
NMGAL,QSUS41,,,,
NMGRA,QSUS42,,,,
NMHOB,QSUS5,,,,
NMLAS,QSUS6,,,,
NMLSV,QSUS7,,,,
NMROS,QSUS8,,,,
NMSLC,QSUS9,,,,
NMSOC,RILIN,,,,
NMSPR,RIPRO,,,,
NMTAO,RITFG,,,,
NMTRU,SCAIK,,,,
NMTUC,SCAKN,,,,
NOGAR,SCAND,,,,
NOOLO,SCBEA,,,,
NSDAT,SCCAE,,,,
NSDMH,SCCHA,,,,
NSSDY,SCCHS,,,,
NSTRR,SCCLA,,,,
NVACC,SCCOL,,,,
NVACW,SCECD,,,,
NVELI,SCEER,,,,
NVELK,SCFLN,,,,
NVFAL,SCFLO,,,,
NVLAS,SCGFN,,,,
NVLSG,SCGLL,,,,
NVLVA,SCGNY,,,,
NVLVE,SCGRE,,,,
NVNOV,SCGRV,,,,
NVRN1,SCHIL,,,,
NVRNO,SCLAN,,,,
NVSTE,SCMYR,,,,
NVSUR,SCNAU,,,,
NVTDR,SCNCT,,,,
NVTON,SCORA,,,,
NVWNA,SCROC,,,,
NY43R,SCSMT,,,,
NYACO,SCSMV,,,,
NYALB,SCSPA,,,,
NYALL,SCTON,,,,
NYAMS,SCWCO,,,,
NYBAT,SCWOD,,,,
NYBFF,SDABE,,,,
NYBIN,SDBRO,,,,
NYBLA,SDHUR,,,,
NYBNG,SDMIT,,,,
NYBRU,SDMOB,,,,
NYBSH,SDPIE,,,,
NYCCO,SDRAP,,,,
NYCHE,SDSFA,,,,
NYCHM,SDSFL,,,,
NYCHO,SDSIO,,,,
NYCHP,SDSTU,,,,
NYCHT,SDVER,,,,
NYCOR,SDWAT,,,,
NYCOX,SDWIN,,,,
NYDUN,TNACK,,,,
NYEDG,TNATH,,,,
NYELF,TNBAR,,,,
NYELM,TNBER,,,,
NYESR,TNBLO,,,,
NYESY,TNBSL,,,,
NYFOS,TNCHA,,,,
NYFSL,TNCLA,,,,
NYFTR,TNCLE,,,,
NYGEN,TNCOL,,,,
NYGLE,TNCOO,,,,
NYHAN,TNCTN,,,,
NYHEN,TNDIK,,,,
NYHOR,TNDYE,,,,
NYHUD,TNEBR,,,,
NYITH,TNESB,,,,
NYJAM,TNFRA,,,,
NYJER,TNJAC,,,,
NYJIC,TNJHN,,,,
NYKEN,TNJOH,,,,
NYKIN,TNKNO,,,,
NYLBA,TNLAW,,,,
NYLIB,TNLOU,,,,
NYLIC,TNLVE,,,,
NYLOC,TNLVR,,,,
NYLTM,TNMAR,,,,
NYMAE,TNMAS,,,,
NYMAN,TNMEB,,,,
NYMAS,TNMEH,,,,
NYMEL,TNMEM,,,,
NYMNS,TNMOR,,,,
NYMON,TNMUR,,,,
NYMTV,TNNLE,,,,
NYNAS,TNNOX,,,,
NYNIA,TNOAK,,,,
NYNWR,TNOLI,,,,
NYONE,TNPAR,,,,
NYPLB,TNSEL,,,,
NYPOT,TNSHL,,,,
NYPOU,TNSPA,,,,
NYPPD,TNTCI,,,,
NYROC,TNTRE,,,,
NYROM,TNTUL,,,,
NYSGA,TNVER,,,,
NYSPR,TNWHI,,,,
NYSPV,TXABI,,,,
NYSTI,TXACC,,,,
NYSUF,TXALG,,,,
NYSYR,TXALP,,,,
NYTNA,TXAMA,,,,
NYTRA,TXANG,,,,
NYUTI,TXANT,,,,
NYW44,TXAPE,,,,
NYWIN,TXARD,,,,
NYYOR,TXARI,,,,
NZAKD,TXARL,,,,
OHAKR,TXAST,,,,
OHATH,TXAUN,,,,
OHAUS,TXAUS,,,,
OHBRE,TXBAT,,,,
OHBRI,TXBEA,,,,
OHCAN,TXBEL,,,,
OHCBS,TXBEU,,,,
OHCEL,TXBRN,,,,
OHCGE,TXBRO,,,,
OHCGF,TXBWN,,,,
OHCHI,TXBWV,,,,
OHCIT,TXCAN,,,,
OHCLE,TXCAV,,,,
OHCLS,TXCKL,,,,
OHCOL,TXCON,,,,
OHCTH,TXCOP,,,,
OHCUU,TXCOR,,,,
OHCVE,TXCPP,,,,
OHDAY,TXCRN,,,,
OHDEF,TXDAL,,,,
OHDYO,TXDAS,,,,
OHELY,TXDDL,,,,
OHFIN,TXDEL,,,,
OHFRM,TXDEN,,,,
OHHAM,TXDFW,,,,
OHHHT,TXDSD,,,,
OHLAN,TXEDO,,,,
OHLCK,TXEGL,,,,
OHLIM,TXELP,,,,
OHMAH,TXELS,,,,
OHMAN,TXEPA,,,,
OHMAR,TXEPD,,,,
OHMAS,TXESS,,,,
OHMHI,TXFOR,,,,
OHMHT,TXFOW,,,,
OHMID,TXFRL,,,,
OHMRN,TXFRP,,,,
OHMWR,TXFRT,,,,
OHNEW,TXFTH,,,,
OHNPH,TXFTW,,,,
OHPIQ,TXGAR,,,,
OHPOR,TXGDY,,,,
OHRIC,TXGRA,,,,
OHSAN,TXGRE,,,,
OHSHA,TXHAR,,,,
OHSHE,TXHMR,,,,
OHSHN,TXHS1,,,,
OHSPF,TXHSO,,,,
OHSTC,TXIAH,,,,
OHTLO,TXIDR,,,,
OHTLR,TXIRG,,,,
OHTOL,TXJSD,,,,
OHTRA,TXKEN,,,,
OHTRU,TXKER,,,,
OHURB,TXLBC,,,,
OHVNA,TXLBG,,,,
OHWAD,TXLCI,,,,
OHWES,TXLDO,,,,
OHWIM,TXLEO,,,,
OHWOO,TXLON,,,,
OHWTC,TXLOP,,,,
OHZAN,TXLSA,,,,
OKALT,TXLUB,,,,
OKARD,TXLUF,,,,
OKCLI,TXLUO,,,,
OKENI,TXMCA,,,,
OKGUY,TXMCG,,,,
OKHUG,TXMCY,,,,
OKLAW,TXMES,,,,
OKLCU,TXMFE,,,,
OKMCA,TXMFR,,,,
OKMUS,TXMID,,,,
OKOHA,TXMYK,,,,
OKOKL,TXNBL,,,,
OKOKM,TXODE,,,,
OKPON,TXPAL,,,,
OKSAL,TXPAM,,,,
OKSHA,TXPAR,,,,
OKSTI,TXPHA,,,,
OKTSA,TXPLA,,,,
OKTUA,TXPLE,,,,
OKTUL,TXPOR,,,,
OKULS,TXREO,,,,
OKVIN,TXRRK,,,,
OKWOO,TXRTH,,,,
ONBAR,TXSAL,,,,
ONBEL,TXSBE,,,,
ONBTF,TXSGO,,,,
ONBUR,TXSHE,,,,
ONCHM,TXSIH,,,,
ONHAI,TXSMR,,,,
ONHAM,TXSNI,,,,
ONKAN,TXSTA,,,,
ONKIN,TXSTI,,,,
ONKIT,TXSUL,,,,
ONLON,TXSUM,,,,
ONMIG,TXTCI,,,,
ONMIS,TXTEX,,,,
ONMSA,TXTIN,,,,
ONMSG,TXTLE,,,,
ONOAV,TXTYL,,,,
ONOTT,TXUVA,,,,
ONPBR,TXVER,,,,
ONQUE,TXVIC,,,,
ONSTC,TXWAC,,,,
ONSTF,TXWIC,,,,
ONTNO,TXWTC,,,,
ONTOR,TXWTH,,,,
ONTTO,USQS1,,,,
ONVAU,USQS2,,,,
ONWNS,USQS3,,,,
ORAIR,USQS4,,,,
ORALD,USQS5,,,,
ORBAK,USQS6,,,,
ORBEA,USQS7,,,,
ORBRN,USQS8,,,,
ORCOR,UTBEV,,,,
ORDES,UTCED,,,,
ORENE,UTCST,,,,
OREUG,UTDEL,,,,
ORFLO,UTGEO,,,,
ORGEN,UTLKC,,,,
ORGPA,UTLKE,,,,
ORGRA,UTLOG,,,,
ORHAR,UTLTC,,,,
ORHRM,UTMOA,,,,
ORHST,UTNNA,,,,
ORJOH,UTOGD,,,,
ORKLA,UTORE,,,,
ORLGN,UTPRI,,,,
ORMED,UTRGE,,,,
ORNBE,UTSAE,,,,
ORNPT,UTSAL,,,,
ORNRA,UTSKT,,,,
ORORL,UTSLC,,,,
ORORT,UTSLK,,,,
ORPCC,UTSTL,,,,
ORPOA,UTVRN,,,,
ORPOR,VAALE,,,,
ORROS,VABRI,,,,
ORSAL,VABTW,,,,
ORSPR,VACHA,,,,
ORTHE,VACPK,,,,
ORTLM,VADAN,,,,
ORTUA.hsd1.or.comcast.net,VADUB,,,,
ORWAR,VADUL,,,,
PAAIR,VAFRE,,,,
PAALI,VAFRL,,,,
PAALT,VAFRO,,,,
PABEA,VAHER,,,,
PABHL,VAIAD,,,,
PABNS,VAKEN,,,,
PABTN,VAKEY,,,,
PACAS,VALBG,,,,
PACHA,VALIV,,,,
PACTR,VALYN,,,,
PADUB,VAMEC,,,,
PAERI,VAMPK,,,,
PAEST,VAMTK,,,,
PAETO,VANEW,,,,
PAFDM,VANOO,,,,
PAFRA,VANOR,,,,
PAGET,VANPN,,,,
PAHAI,VARCM,,,,
PAHAR,VARHM,,,,
PAHOM,VARIC,,,,
PAHRS,VARIO,,,,
PAIND,VARMD,,,,
PAJOH,VARMN,,,,
PAKAN,VARMN-T,,,,
PAKUT,VAROA,,,,
PALAN,VAROE,,,,
PALEW,VASAN,,,,
PAMBG,VASFK,,,,
PAMDD,VASLM,,,,
PAMDT,VASPN,,,,
PAMDW,VASTA,,,,
PAMEA,VAVBA,,,,
PAMOT,VAVBC,,,,
PAMPL,VAVIR,,,,
PAMTL,VAWAY,,,,
PANCA,VAWIC,,,,
PANKE,VTBAR,,,,
PANST,VTBRA,,,,
PAOFO,VTBUL,,,,
PAPAV,VTRUT,,,,
PAPHA,VTSBU,,,,
PAPHI,VTSJO,,,,
PAPOT,VTWLT,,,,
PAPSB,VTWRI,,,,
PAPTY,WAABU,,,,
PAREA,WAARL,,,,
PASCN,WABLH,,,,
PASCR,WABLN,,,,
PASNL,WABLV,,,,
PASTO,WABOE,,,,
PASTR,WABRE,,,,
PASUN,WABRN,,,,
PATHO,WABUR,,,,
PATST,WACHE,,,,
PAUNI,WACOL,,,,
PAWAS,WADIS,,,,
PAWES,WAELL,,,,
PAWLB,WAELM,,,,
PAWLG,WAETL,,,,
PAWLL,WAEVE,,,,
PAYOR,WAEWE,,,,
PAYRK,WAFHA,,,,
PAZEL,WAFIE,,,,
PECAR,WAFIF,,,,
PECHT,WAGRA,,,,
PECLO,WAIMP,,,,
PEJAV,WAKEL,,,,
PHEDS,WAKEN,,,,
PHMNI,WAKWK,,,,
PHMNT,WAMOS,,,,
PHPPG1,WAOKA,,,,
PHPSG,WAPAC,,,,
PHQUE,WAPOR,,,,
PLAKO,WAPUL,,,,
PLBBL,WAPYP,,,,
PLBLI,WARED,,,,
PLGDA,WAREM,,,,
PLKOZ,WARIC,,,,
PLLDZ,WASAT,,,,
PLLEC,WASEA,,,,
PLMAT,WASKN,,,,
PLMIR,WASNR,,,,
PLMYS,WASPA,,,,
PLPIA,WASPN,,,,
PLPON,WASPO,,,,
PLPYR,WASTT,,,,
PLRZK,WATAC,,,,
PLRZZ,WATKW,,,,
PLSAD,WATOM,,,,
PLSBZ,WATUM,,,,
PLSCC,WATUW,,,,
PLSTR,WAVAN,,,,
PLSZ1,WAVRT,,,,
PLTRN,WAWAL,,,,
PLWAR1,WAWNA,,,,
PLWAW,WAYAK,,,,
PLWCW,WIAIR,,,,
PLWKO,WIBAL,,,,
PLZOG,WIBAR,,,,
PQBLA,WIDOD,,,,
PQBRO,WIDOE,,,,
PQDRU,WIDPE,,,,
PQLCO,WIEAU,,,,
PQMIR,WIELM,,,,
PQMON,WIGRB,,,,
PQQUE,WIGRE,,,,
PQSHE,WIJAN,,,,
PQTRO,WIKAU,,,,
PRARE,WILAC,,,,
PRBYM,WILCR,,,,
PRMAY,WIMAD,,,,
PRPNC,WIMAR,,,,
PTLDP,WIMAS,,,,
PTLIS,WIMID,,,,
PTMAI,WIMLK,,,,
QCSLR,WIMSN,,,,
RILIN,WIOAK,,,,
RIPRO,WIOCR,,,,
ROGRD,WIOSH,,,,
ROOPN,WIPDC,,,,
RUARY,WIRHI,,,,
RUAZO,WIRIC,,,,
RUBUM,WISHE,,,,
RULED,WISTE,,,,
RUMOC,WISTR,,,,
RUMOW,WISTU,,,,
RUNNO,WIWAS,,,,
RURST,WIWAT,,,,
RUSMO,WIWWL,,,,
RUSPE,WVBEC,,,,
RUVKO,WVBLF,,,,
RUVLD,WVCHA,,,,
SCAIK,WVCLK,,,,
SCAKN,WVELK,,,,
SCAND,WVFAI,,,,
SCBEA,WVFAR,,,,
SCCAE,WVHUN,,,,
SCCHA,WVHUR,,,,
SCCHS,WVLEW,,,,
SCCOL,WVLOG,,,,
SCECD,WVNTR,,,,
SCEER,WVPAR,,,,
SCFLN,WVPRI,,,,
SCFLO,WVPRK,,,,
SCGLL,WVWHE,,,,
SCGNY,WYCAP,,,,
SCGRE,WYCHE,,,,
SCGRV,WYCOD,,,,
SCHIL,WYEVA,,,,
SCLAN,WYGLT,,,,
SCMYR,WYJAK,,,,
SCNAU,WYLAR,,,,
SCNCT,WYRAW,,,,
SCORA,WYRIV,,,,
SCROC,WYROC,,,,
SCSMT,WYSHR,,,,
SCSMV,,,,,
SCSPA,,,,,
SCTON,,,,,
SCWCO,,,,,
SDABE,,,,,
SDBRO,,,,,
SDHUR,,,,,
SDMIT,,,,,
SDMOB,,,,,
SDPIE,,,,,
SDRAP,,,,,
SDSTU,,,,,
SDVER,,,,,
SDWAT,,,,,
SDWIN,,,,,
SEARL,,,,,
SEBOL,,,,,
SEJAR,,,,,
SEJNK,,,,,
SEMOL,,,,,
SEMST,,,,,
SESKA,,,,,
SESTC,,,,,
SEVST,,,,,
SGCHA,,,,,
SGPRE,,,,,
SGSIA.lan,,,,,
SGSIG,,,,,
SGSIP,,,,,
SILJU,,,,,
SKRGA,,,,,
SKSSK,,,,,
SVSAG,,,,,
SVSSL,,,,,
SVSSV,,,,,
THBAG,,,,,
THBAO,,,,,
THBNG,,,,,
THPAT,,,,,
THSAM,,,,,
THSAT,,,,,
THSAU,,,,,
TNACK,,,,,
TNATH,,,,,
TNBAR,,,,,
TNBER,,,,,
TNBSL,,,,,
TNCHA,,,,,
TNCLA,,,,,
TNCLE,,,,,
TNCOL,,,,,
TNCOO,,,,,
TNDIK,,,,,
TNDYE,,,,,
TNEBR,,,,,
TNFRA,,,,,
TNJAC,,,,,
TNJHN,,,,,
TNJOH,,,,,
TNKNO,,,,,
TNLAW,,,,,
TNLOU,,,,,
TNLVE,,,,,
TNLVR,,,,,
TNMAR,,,,,
TNMAS,,,,,
TNMEB,,,,,
TNMEH,,,,,
TNMEM,,,,,
TNMOR,,,,,
TNMUR,,,,,
TNNOX,,,,,
TNOAK,,,,,
TNOLI,,,,,
TNPAR,,,,,
TNSEL,,,,,
TNSPA,,,,,
TNTCI,,,,,
TNTRE,,,,,
TNTTN1-PTUN315,,,,,
TNTUL,,,,,
TNVER,,,,,
TNWHI,,,,,
TRIGA,,,,,
TRIMR,,,,,
TRMDK,,,,,
TRTOK,,,,,
TWAOU,,,,,
TWCHC,,,,,
TWHAN,,,,,
TWKAO,,,,,
TWLUJ,,,,,
TWTAI,,,,,
TWTCT,,,,,
TWTEI,,,,,
TWZHU,,,,,
TWZIL,,,,,
TXABI,,,,,
TXACC,,,,,
TXALG,,,,,
TXAMA,,,,,
TXANG,,,,,
TXANT,,,,,
TXAPE1,,,,,
TXARD,,,,,
TXARI,,,,,
TXARL,,,,,
TXAST,,,,,
TXAUN,,,,,
TXAUS,,,,,
TXBAT,,,,,
TXBEA,,,,,
TXBEL,,,,,
TXBEU,,,,,
TXBRN,,,,,
TXBRO,,,,,
TXBWN,,,,,
TXCAN,,,,,
TXCAV,,,,,
TXCKL,,,,,
TXCON,,,,,
TXCOP,,,,,
TXCOR,,,,,
TXCPP,,,,,
TXCRN,,,,,
TXDAL,,,,,
TXDAS,,,,,
TXDDL,,,,,
TXDEL,,,,,
TXDEN,,,,,
TXDFW,,,,,
TXDSD,,,,,
TXEDO,,,,,
TXEGL,,,,,
TXELP,,,,,
TXELS,,,,,
TXEPA,,,,,
TXEPD,,,,,
TXFOR,,,,,
TXFRL,,,,,
TXFRT,,,,,
TXFTH,,,,,
TXFTW,,,,,
TXGAR,,,,,
TXGDY,,,,,
TXGRA,,,,,
TXGRE,,,,,
TXHAR,,,,,
TXHMR,,,,,
TXHS1,,,,,
TXHSO,,,,,
TXIAH,,,,,
TXIDR,,,,,
TXJSD,,,,,
TXKEN,,,,,
TXKER,,,,,
TXLBC,,,,,
TXLBG,,,,,
TXLCI,,,,,
TXLDO,,,,,
TXLEO,,,,,
TXLON,,,,,
TXLOP,,,,,
TXLSA,,,,,
TXLUB,,,,,
TXLUF,,,,,
TXLUO,,,,,
TXMCA,,,,,
TXMCG,,,,,
TXMCY,,,,,
TXMES,,,,,
TXMFE,,,,,
TXMFR,,,,,
TXMID,,,,,
TXMYK,,,,,
TXODE,,,,,
TXOSE,,,,,
TXPAL,,,,,
TXPAM,,,,,
TXPHA,,,,,
TXPLA,,,,,
TXPLE,,,,,
TXPOR,,,,,
TXREO,,,,,
TXRRK,,,,,
TXRTH,,,,,
TXSBE,,,,,
TXSGO,,,,,
TXSHE,,,,,
TXSIH,,,,,
TXSMR,,,,,
TXSTA,,,,,
TXSTI,,,,,
TXSUL,,,,,
TXSUM,,,,,
TXTCI,,,,,
TXTEX,,,,,
TXTIN,,,,,
TXTLE,,,,,
TXTYL,,,,,
TXUVA,,,,,
TXVER,,,,,
TXVIC,,,,,
TXWAC,,,,,
TXWIC,,,,,
TXWTH,,,,,
UAKIV,,,,,
UTCED,,,,,
UTDEL,,,,,
UTGEO,,,,,
UTLKC,,,,,
UTLKE,,,,,
UTLOG,,,,,
UTLTC,,,,,
UTMOA,,,,,
UTNNA,,,,,
UTOGD,,,,,
UTORE,,,,,
UTPRI,,,,,
UTSAL,,,,,
UTSKT,,,,,
UTSLC,,,,,
UTSLK,,,,,
UTSTL,,,,,
UTVRN,,,,,
VAALE,,,,,
VABRI,,,,,
VABTW,,,,,
VACHA,,,,,
VACPK,,,,,
VADAN,,,,,
VADUB,,,,,
VADUL,,,,,
VAFRE,,,,,
VAFRL,,,,,
VAFRO,,,,,
VAHER,,,,,
VAIAD,,,,,
VAKEN,,,,,
VAKEY,,,,,
VALBG,,,,,
VALIV,,,,,
VALYN,,,,,
VAMEC,,,,,
VAMTK,,,,,
VANEW,,,,,
VANOO,,,,,
VANOR,,,,,
VARCM,,,,,
VARIC,,,,,
VARMD,,,,,
VAROA,,,,,
VAROE,,,,,
VASAN,,,,,
VASFK,,,,,
VAVIR,,,,,
VAWAY,,,,,
VNBND,,,,,
VNHOC,,,,,
VNPVD,,,,,
VNTLS,,,,,
VTBAR,,,,,
VTBRA,,,,,
VTBUL,,,,,
VTRUT,,,,,
VTSBU,,,,,
VTSJO,,,,,
VTWRI,,,,,
WAABU,,,,,
WAARL,,,,,
WABLH,,,,,
WABLN,,,,,
WABLV,,,,,
WABOE,,,,,
WABRE,,,,,
WABUR,,,,,
WACHE,,,,,
WACOL,,,,,
WADIS,,,,,
WAELL,,,,,
WAELM,,,,,
WAETL,,,,,
WAEVE,,,,,
WAFHA,,,,,
WAFIE,,,,,
WAFIF,,,,,
WAGRA,,,,,
WAIMP,,,,,
WAKEL,,,,,
WAKEN,,,,,
WAKWK,,,,,
WAMOS,,,,,
WAOKA,,,,,
WAPOR,,,,,
WAPUL,,,,,
WAPYP,,,,,
WARED,,,,,
WARIC,,,,,
WASAT,,,,,
WASEA,,,,,
WASNR,,,,,
WASPA,,,,,
WASPN,,,,,
WASPO,,,,,
WASTT,,,,,
WATAC,,,,,
WATKW,,,,,
WATOM,,,,,
WATUM,,,,,
WATUW,,,,,
WAVAN,,,,,
WAWAL,,,,,
WAWNA,,,,,
WAYAK,,,,,
WIAIR,,,,,
WIBAL,,,,,
WIBAR,,,,,
WIDOD,,,,,
WIEAU,,,,,
WIELM,,,,,
WIGRB,,,,,
WIGRE,,,,,
WIJAN,,,,,
WIKAU,,,,,
WILAC,,,,,
WIMAD,,,,,
WIMAR,,,,,
WIMID,,,,,
WIMLK,,,,,
WIMSN,,,,,
WIOAK,,,,,
WIOCR,,,,,
WIOSH,,,,,
WIRHI,,,,,
WIRIC,,,,,
WISHE,,,,,
WISTE,,,,,
WISTR,,,,,
WISTU,,,,,
WIWAS,,,,,
WIWAT,,,,,
WIWWL,,,,,
WVBEC,,,,,
WVBLF,,,,,
WVCLK,,,,,
WVELK,,,,,
WVFAI,,,,,
WVHUN,,,,,
WVLEW,,,,,
WVLOG,,,,,
WVNTR,,,,,
WVPAR,,,,,
WVPRK,,,,,
WVWHE,,,,,
WYCAP,,,,,
WYCHE,,,,,
WYCOD,,,,,
WYEVA,,,,,
WYGLT,,,,,
WYJAK,,,,,
WYLAR,,,,,
WYRAW,,,,,
WYRIV,,,,,
WYROC,,,,,
WYSHR,,,,,
ZACEN,,,,,
ZACTO,,,,,
ZADUA,,,,,
ZAJHB,,,,,
ZAJNN,,,,,
